stop_id,arrival_time,departure_time,departure_stop_id,route,transfer_route,radius_ft,stop_des
388,12:34,12:27,5,80,6,1320,N PARK & SPRING (SB)
391,12:33,12:06,581,3,4,1320,FISH HATCHERY & CARVER (NB)
392,12:10,12:06,581,3,4,1320,N MILLS & SPRING (SB)
398,12:36,12:27,5,80,6,1320,REGENT & N RANDALL (WB)
405,12:33,12:06,581,3,4,1320,FISH HATCHERY & CATALPA (NB)
406,12:38,12:27,5,80,6,1320,REGENT & N BREESE (WB)
418,12:40,12:19,133,19,5,1320,WEST WASH & N BEDFORD (WB)
428,12:30,12:02,809,1,null,1320,W GORHAM & N BASSETT (WB)
435,12:06,12:02,809,1,null,1320,W JOHNSON & N LAKE (EB)
438,12:11,12:09,573,80,null,1320,LINDEN & N CHARTER (EB)
441,12:45,12:06,581,3,4,1320,N MILLS & W JOHNSON (NB)
445,12:44,12:06,581,3,4,1320,N MILLS & SPRING (NB)
454,12:20,12:19,542,3,null,1320,BREESE & HOYT (SB)
455,12:05,12:02,809,1,null,1320,W JOHNSON & N PARK (EB)
456,12:21,12:06,581,3,4,1320,FISH HATCHERY & CARVER (SB)
459,12:15,12:06,581,3,4,1320,ERIN & S MILLS (EB)
470,12:07,12:02,809,1,null,1320,N BASSETT & W DAYTON (SB)
483,12:50,12:35,160,19,6,1320,N PARK & SPRING (NB)
488,12:15,12:02,809,1,80,1320,LINDEN & N CHARTER (WB)
499,12:32,12:06,581,3,4,1320,FISH HATCHERY & W BADGER (NB)
505,12:22,12:09,5,80,4,1320,STATE & W GILMAN (EB)
506,12:59,12:19,133,19,6,180,STATE & N FRANCES (WB)
512,12:39,12:19,133,19,5,1320,WEST WASH & N BASSETT (WB)
516,12:41,12:19,133,19,5,1320,WEST WASH & REGENT (WB)
519,12:37,12:06,581,3,4,1320,S PARK & FISH HATCHERY (NB)
520,12:09,12:02,809,1,null,1320,S BASSETT & W DOTY (SB)
530,12:18,12:06,581,3,4,1320,FISH HATCHERY & APPLETON (SB)
532,12:11,12:09,488,80,null,1320,LINDEN & BABCOCK (WB)
533,12:46,12:35,160,19,6,1320,REGENT & N BREESE (EB)
536,12:19,12:06,581,3,4,1320,FISH HATCHERY & WINGRA (SB)
542,12:19,12:17,178,3,null,1320,BREESE & UNIV AVE (SB)
548,12:35,12:27,5,80,6,1320,REGENT & N MILLS (WB)
549,12:23,12:09,5,80,4,1320,STATE & W GORHAM (EB)
555,12:11,12:04,809,3,null,1320,W JOHNSON & N BASSETT (EB)
561,12:51,12:35,160,19,6,1320,N PARK & W DAYTON (NB)
564,12:24,12:02,809,1,null,1320,W WILSON & S HAMILTON (WB)
567,12:34,12:27,809,10,null,1320,W JOHNSON & N CARROLL (EB)
568,12:31,12:02,809,1,null,1320,UNIV AVE & N FRANCES (WB)
573,12:09,12:09,298,80,null,1320,LINDEN & HENRY MALL (EB)
581,12:03,12:02,809,1,null,1320,W JOHNSON & N CHARTER (EB)
583,12:47,12:35,160,19,6,1320,REGENT & S ORCHARD (EB)
588,12:49,12:19,133,19,5,1320,BELD & KENWARD (SB)
590,12:31,12:06,581,3,4,1320,W BADGER & CYPRESS (WB)
593,12:28,12:02,809,1,null,1320,N BROOM & W DAYTON (NB)
597,12:35,12:27,809,10,null,1320,E JOHNSON & N PINCKNEY (EB)
624,12:12,12:06,581,3,4,1320,S MILLS & MOUND (SB)
668,12:25,12:02,809,1,null,1320,W DOTY & S HENRY (WB)
670,12:31,12:02,809,1,null,1320,UNIV AVE & N LAKE (WB)
688,12:58,12:19,133,19,6,360,STATE & W GILMAN (WB)
692,12:21,12:19,178,10,null,1320,UNIV AVE & N BREESE (WB)
706,12:11,12:09,573,80,null,1320,N CHARTER & UNIV AVE (SB)
710,12:08,12:02,809,1,null,1320,S BASSETT & WEST WASH (SB)
739,12:43,12:06,581,3,4,1320,N MILLS & COLLEGE (NB)
741,12:04,12:02,809,1,null,1320,W JOHNSON & N MILLS (EB)
758,13:00,12:15,809,10,null,0,E GORHAM & N PINCKNEY (WB)
765,12:09,12:02,809,1,80,1320,N LAKE & UNIV AVE (NB)
768,12:40,12:19,133,19,5,1320,WEST WASH & SW PATH (WB)
770,12:42,12:19,133,19,5,1320,WEST WASH & PED BRIDGE (WB)
782,12:32,12:06,581,3,4,1320,W BADGER & FIEDLER (WB)
791,12:11,12:02,809,1,null,1320,W WILSON & S HAMILTON (EB)
803,12:24,12:09,5,80,4,1320,STATE & W JOHNSON (EB)
809,12:15,12:14,133,10,null,1320,CAMPUS & BABCOCK RR (EB)
837,12:44,12:06,581,3,4,1320,N MILLS & W DAYTON (NB)
839,12:12,12:04,809,3,null,1320,W JOHNSON & N BROOM (EB)
840,12:43,12:19,133,19,5,1320,S PARK & WEST WASH (SB)
841,12:43,12:06,581,3,4,1320,S MILLS & REGENT (NB)
843,12:36,12:06,581,3,4,1320,FISH HATCHERY & APPLETON (NB)
845,12:35,12:06,581,3,4,1320,FISH HATCHERY & PLAENERT (NB)
866,12:37,12:27,5,80,6,1320,REGENT & MADISON (WB)
883,12:14,12:04,809,3,null,1320,STATE & N FAIRCHILD (EB)
890,12:47,12:19,133,19,5,1320,S PARK & BELD (SB)
898,12:44,12:25,809,15,null,1320,STATE & W JOHNSON (WB)
901,12:48,12:19,133,19,5,1320,WINGRA & S PARK (EB)
904,12:38,12:06,581,3,4,1320,ERIN & S PARK (WB)
906,12:52,12:19,133,19,5,1320,S PARK & BUICK (SB)
915,12:36,12:06,581,3,4,1320,FISH HATCHERY & MIDLAND (NB)
916,12:20,12:19,542,3,null,1320,BREESE & REGENT (SB)
926,13:00,12:19,133,19,6,0,N LAKE & STATE (SB)
941,12:06,12:02,809,1,null,1320,W JOHNSON & N FRANCES (EB)
962,12:35,12:27,5,80,6,1320,REGENT & N PARK (WB)
965,12:27,12:02,809,1,null,1320,S BROOM & WEST WASH (NB)
971,12:47,12:35,160,19,6,1320,REGENT & S RANDALL (EB)
989,12:17,12:02,809,1,5,1320,WEST WASH & S BROOM (EB)
1100,12:18,12:02,809,1,null,1320,E MIFFLIN & N PINCKNEY (WB)
1101,12:12,12:02,809,1,null,1320,W MAIN & S CARROLL (EB)
1105,12:36,12:04,809,3,null,1320,MILWAUKEE & WALTER (EB)
1107,12:37,12:15,809,10,null,1320,EAST WASH & S SECOND (EB)
1112,12:54,12:27,809,10,null,1080,EAST WASH & MILWAUKEE (WB)
1121,12:24,12:06,581,3,5,1320,E JOHNSON & N LIVINGSTON (EB)
1123,12:51,12:25,809,2,null,1320,ROTH & RUSKIN (EB)
1125,12:36,12:15,809,10,null,1320,S FIRST & E MAIN (NB)
1127,12:30,12:04,809,3,null,1320,ATWOOD & S MARQUETTE (EB)
1131,12:30,12:06,581,3,5,1320,E JOHNSON & N THIRD (EB)
1133,12:34,12:06,581,3,5,1320,MILWAUKEE & WAUBESA (EB)
1138,12:59,12:15,809,10,null,180,E GORHAM & N BLAIR (WB)
1141,12:38,12:15,809,10,null,1320,EAST WASH & N FOURTH (EB)
1143,12:26,12:04,809,3,null,1320,RUTLEDGE & RIVERSIDE (EB)
1151,12:25,12:06,581,3,5,1320,E JOHNSON & N PATERSON (EB)
1153,12:35,12:04,809,3,null,1320,WALTER & DAWES (NB)
1160,12:52,12:15,809,10,null,1320,E JOHNSON & N FOURTH (WB)
1161,12:50,12:25,809,2,null,1320,N SHERMAN & ROTH (NB)
1163,12:18,12:02,809,1,5,1320,WEST WASH & S CARROLL (EB)
1167,12:21,12:04,809,3,null,1320,JENIFER & S LIVINGSTON (EB)
1169,12:49,12:06,581,3,30,1320,ATWOOD & WALTER (NB)
1177,12:46,12:25,809,2,null,1320,FORDEM & LAKEWOOD (NB)
1188,12:35,12:15,809,10,null,1320,WINNEBAGO & ATWOOD (SB)
1190,12:59,12:06,581,3,30,180,JENIFER & S BREARLY (WB)
1199,12:38,12:15,5,80,6,1320,EAST WASH & S INGERSOLL (EB)
1206,12:46,12:06,581,3,34,1320,MILWAUKEE & LEON (WB)
1208,12:56,12:06,581,3,30,720,WILLIAMSON & ROGERS (WB)
1209,12:27,12:06,581,3,5,1320,E JOHNSON & N INGERSOLL (EB)
1211,12:29,12:04,809,3,null,1320,ATWOOD & HUDSON (EB)
1213,12:37,12:09,5,80,4,1320,WILLIAMSON & S DICKINSON (EB)
1220,12:49,12:06,581,3,32,1320,MILWAUKEE & N BRYAN (WB)
1223,12:35,12:27,809,10,null,1320,E JOHNSON & N HAMILTON (EB)
1225,12:33,12:04,809,3,null,1320,WALTER & ATWOOD (NB)
1233,12:39,12:15,809,10,null,1320,EAST WASH & S SIXTH (EB)
1241,12:41,12:15,5,80,6,1320,EAST WASH & S FIRST (EB)
1250,12:55,12:15,809,10,null,900,E GORHAM & N BALDWIN (WB)
1260,12:25,12:04,809,3,null,1320,ROGERS & RUTLEDGE (SB)
1261,12:22,12:06,581,3,5,1320,N HAMILTON & E JOHNSON (NB)
1269,12:45,12:15,5,80,6,1320,EAST WASH & E JOHNSON (EB)
1270,12:46,12:06,581,3,5,1320,WALTER & MILWAUKEE (SB)
1293,12:33,12:06,581,3,5,1320,MILWAUKEE & EAST WASH (EB)
1301,12:40,12:15,809,10,null,1320,NORTH & EAST WASH (NB)
1305,12:26,12:04,809,3,null,1320,RUTLEDGE & RUSSELL (EB)
1309,12:37,12:06,581,3,5,1320,MILWAUKEE & LEON (EB)
1310,12:43,12:25,809,15,null,1320,W MIFFLIN & N CARROLL (WB)
1311,12:42,12:09,5,80,4,1320,EAST WASH & MILWAUKEE (EB)
1319,12:32,12:06,581,3,5,1320,E JOHNSON & N SEVENTH (EB)
1323,12:34,12:15,5,80,6,1320,EAST WASH & S WEBSTER (EB)
1324,12:19,12:02,809,1,null,1320,N CARROLL & W MIFFLIN (SB)
1325,12:28,12:06,581,3,5,1320,E JOHNSON & N BALDWIN (EB)
1326,12:45,12:09,5,80,4,1320,COMMERCIAL & NORTH LAWN (WB)
1333,12:29,12:06,581,3,5,1320,E JOHNSON & FORDEM (EB)
1343,12:40,12:09,5,80,4,1320,WINNEBAGO & S FOURTH (NB)
1358,13:00,12:15,809,10,null,0,E GORHAM & N HANCOCK (WB)
1372,12:58,12:27,809,10,null,360,S FIRST & E MAIN (SB)
1379,12:47,12:25,809,2,null,1320,FORDEM & MCGUIRE (NB)
1380,12:51,12:09,5,80,4,1320,ABERG & LOFTSGORDAN RR (WB)
1382,12:57,12:27,809,10,null,540,EAST WASH & N SECOND (WB)
1388,12:53,12:06,581,3,30,1260,ATWOOD & DIVISION (WB)
1391,12:29,12:04,809,3,null,1320,ATWOOD & OHIO (EB)
1394,12:47,12:09,5,80,4,1320,COMMERCIAL & NORTH (WB)
1397,12:24,12:06,581,3,5,1320,E JOHNSON & N BLOUNT (EB)
1398,12:53,12:06,581,3,30,1260,ATWOOD & EVERGREEN (WB)
1427,12:48,12:09,5,80,4,1320,PACKERS & COMMERCIAL (NB)
1437,12:36,12:06,581,3,5,1320,MILWAUKEE & S FAIR OAKS (EB)
1453,12:35,12:15,5,80,6,1320,EAST WASH & S BLOUNT (EB)
1462,12:48,12:06,581,3,32,1320,MILWAUKEE & N FAIR OAKS (WB)
1472,12:55,12:06,581,3,30,900,WINNEBAGO & RIVERSIDE (SB)
1474,12:50,12:06,581,3,32,1320,MILWAUKEE & WAUBESA (WB)
1478,12:47,12:06,581,3,5,1320,WALTER & RICHARD (SB)
1481,12:46,12:15,5,80,6,1320,EAST WASH & N MARQUETTE (EB)
1482,12:50,12:06,581,3,32,1320,MILWAUKEE & N MARQUETTE (WB)
1488,12:56,12:27,809,10,null,720,EAST WASH & S FOURTH (WB)
1495,12:21,12:06,581,3,5,1320,N PINCKNEY & E MIFFLIN (NB)
1499,12:39,12:09,5,80,4,1320,WINNEBAGO & ATWOOD (NB)
1505,12:23,12:04,809,3,null,1320,JENIFER & S INGERSOLL (EB)
1509,12:20,12:04,809,3,null,1320,WILLIAMSON & S BLOUNT (EB)
1513,12:40,12:15,5,80,6,1320,EAST WASH & YAHARA (EB)
1518,12:33,12:06,581,3,5,1320,NORTH & E JOHNSON (SB)
1526,12:56,12:06,581,3,30,720,WILLIAMSON & S DICKINSON (WB)
1530,12:57,12:06,581,3,30,540,JENIFER & S BALDWIN (WB)
1536,13:00,12:06,581,3,30,0,JENIFER & S PATERSON (WB)
1555,12:47,12:06,581,3,34,1320,N FAIR OAKS & MILWAUKEE (NB)
1558,12:44,12:25,809,15,null,1320,STATE & W DAYTON (WB)
1559,12:23,12:04,809,3,null,1320,JENIFER & S FEW (EB)
1565,12:37,12:15,5,80,6,1320,EAST WASH & S PATERSON (EB)
1575,12:40,12:09,5,80,4,1320,WINNEBAGO & LINDEN (NB)
1579,12:35,12:15,5,80,6,1320,EAST WASH & S BLAIR (EB)
1595,12:29,12:06,581,3,5,1320,E JOHNSON & N THORTON (EB)
1598,12:33,12:06,581,3,5,1320,NORTH & E MIFFLIN (SB)
1615,12:21,12:04,809,3,null,1320,JENIFER & S PATERSON (EB)
1628,12:50,12:06,581,3,30,1320,ATWOOD & LAKELAND (WB)
1636,12:56,12:15,809,10,null,720,E GORHAM & N INGERSOLL (WB)
1643,12:28,12:04,809,3,null,1320,EASTWOOD & DIVISION (EB)
1645,12:37,12:09,5,80,4,1320,WILLIAMSON & ROGERS (EB)
1659,12:41,12:09,5,80,4,1320,WINNEBAGO & LAFOLLETTE (NB)
1663,12:14,12:04,809,3,null,1320,STATE & W MIFFLIN (EB)
1664,12:58,12:15,809,10,null,360,E GORHAM & N BLOUNT (WB)
1675,12:31,12:06,581,3,5,1320,E JOHNSON & N FOURTH (EB)
1682,12:52,12:06,581,3,30,1320,ATWOOD & OHIO (WB)
1689,12:24,12:04,809,3,null,1320,JENIFER & S BALDWIN (EB)
1695,12:26,12:04,809,3,null,1320,RUTLEDGE & WALTON (EB)
1704,12:51,12:15,809,10,null,1320,E JOHNSON & N SIXTH (WB)
1707,12:45,12:25,809,2,null,1320,FORDEM & E JOHNSON (NB)
1710,12:51,12:06,581,3,30,1320,ATWOOD & S MARQUETTE (WB)
1712,12:34,12:15,809,10,null,1320,ATWOOD & RUSK (WB)
1715,12:50,12:25,809,2,null,1320,N SHERMAN & OXFORD (NB)
1717,12:48,12:25,809,2,null,1320,N SHERMAN & FORDEM (NB)
1737,12:17,12:04,809,3,null,1320,KING & E WILSON (EB)
1748,12:51,12:06,581,3,32,1320,MILWAUKEE & FARWELL (WB)
1750,12:57,12:06,581,3,30,540,JENIFER & S FEW (WB)
1751,12:37,12:06,581,3,5,1320,MILWAUKEE & S FAIR OAKS (EB)
1753,12:57,12:34,809,3,null,540,WINNEBAGO & ATWOOD (NB)
1757,12:46,12:15,5,80,6,1320,EAST WASH & ABERG (EB)
1777,12:44,12:09,5,80,4,1320,OAK & EAST WASH (NB)
1780,12:53,12:15,809,10,null,1260,E JOHNSON & N FIRST (WB)
1785,12:33,12:04,809,3,null,1320,WALTER & CAP CITY PATH (NB)
1786,12:47,12:06,581,3,5,1320,WALTER & DAWES (SB)
1787,12:13,12:02,809,1,null,1320,S PINCKNEY & E MAIN (NB)
1798,12:54,12:15,809,10,null,1080,E JOHNSON & N DICKINSON (WB)
1805,12:39,12:15,5,80,6,1320,EAST WASH & S DICKINSON (EB)
1809,12:34,12:04,809,3,null,1320,WALTER & RICHARD (NB)
1812,12:52,12:15,809,10,null,1320,E JOHNSON & N THIRD (WB)
1813,12:25,12:04,809,3,null,1320,SPAIGHT & S DICKINSON (EB)
1823,12:17,12:04,809,3,null,1320,E MAIN & S PINCKNEY (EB)
1830,12:36,12:15,809,10,null,1320,WINNEBAGO & S FIRST (SB)
1831,12:23,12:06,581,3,5,1320,E JOHNSON & N BLAIR (EB)
1834,12:57,12:15,809,10,null,540,E GORHAM & N PATERSON (WB)
1839,12:19,12:04,809,3,null,1320,E WILSON & S FRANKLIN (EB)
1842,12:49,12:06,581,3,32,1320,MILWAUKEE & ST PAUL (WB)
1843,12:30,12:06,581,3,5,1320,E JOHNSON & N FIRST (EB)
1846,12:55,12:27,809,10,null,900,EAST WASH & N SIXTH (WB)
1852,12:46,12:09,5,80,4,1320,COMMERCIAL & KEDZIE (WB)
1855,12:36,12:06,581,3,5,1320,MILWAUKEE & S BRYAN (EB)
1872,12:22,12:02,809,1,null,1320,M L K JR & CCB (SB)
1873,12:47,12:06,581,3,34,1320,N FAIR OAKS & CHICAGO (NB)
1878,12:58,12:06,581,3,30,360,JENIFER & S INGERSOLL (WB)
1883,12:39,12:15,5,80,6,1320,EAST WASH & S BALDWIN (EB)
1886,12:46,12:06,581,3,34,1320,MILWAUKEE & WALTER (WB)
1887,12:28,12:04,809,3,null,1320,ATWOOD & EVERGREEN (EB)
1890,12:48,12:06,581,3,5,1320,WALTER & CAP CITY PATH (SB)
1892,12:54,12:15,809,10,null,1080,E JOHNSON & FORDEM (WB)
1898,12:52,12:06,581,3,30,1320,ATWOOD & HUDSON (WB)
1901,12:38,12:09,5,80,4,1320,WINNEBAGO & S FIRST (NB)
1905,12:31,12:04,809,3,null,1320,ATWOOD & LAKELAND (EB)
1913,12:36,12:06,581,3,5,1320,MILWAUKEE & ST PAUL (EB)
1923,12:49,12:25,809,2,null,1320,N SHERMAN & COMMERCIAL (NB)
1928,12:51,12:06,581,3,30,1320,ATWOOD & GARRISON (WB)
1935,12:38,12:09,5,80,4,1320,WINNEBAGO & RIVERSIDE (NB)
1944,12:50,12:15,809,10,null,1320,E JOHNSON & NORTH (WB)
1949,12:32,12:06,581,3,5,1320,E JOHNSON & N SIXTH (EB)
1959,12:22,12:04,809,3,null,1320,JENIFER & S BREARLY (EB)
1961,12:58,12:34,809,3,null,360,ATWOOD & RUSK (EB)
1973,12:45,12:09,5,80,4,1320,OAK & COMMERCIAL (NB)
1975,12:35,12:06,581,3,5,1320,MILWAUKEE & S MARQUETTE (EB)
1986,12:50,12:15,809,10,null,1320,E JOHNSON & N SEVENTH (WB)
1995,12:27,12:04,809,3,null,1320,DIVISION & OAKRIDGE (NB)
1996,12:58,12:15,809,10,null,360,E GORHAM & N LIVINGSTON (WB)
2007,12:29,12:17,532,80,null,1320,OBSERVATORY & WALNUT (EB)
2014,12:29,12:11,532,80,null,1320,LAKE MENDOTA & LOT R (SB)
2018,12:24,12:11,532,80,null,1320,EAGLE HTS & LOT E (WB)
2023,12:17,12:11,532,80,null,1320,MARSH & HIGHLAND (EB)
2026,12:24,12:11,532,80,null,1320,EAGLE HTS & LOT F (WB)
2027,12:18,12:11,532,80,null,1320,U BAY & LOT 60 (NB)
2034,12:29,12:11,532,80,null,1320,LAKE MENDOTA & EAGLE HTS (SB)
2039,12:27,12:11,532,80,null,1320,LAKE MENDOTA & LOT N (NB)
2041,12:22,12:11,532,80,null,1320,LAKE MENDOTA & U BAY (NB)
2048,12:30,12:11,532,80,null,1320,LAKE MENDOTA & U BAY (SB)
2050,12:32,12:11,532,80,null,1320,U BAY & LOT 76 (SB)
2053,12:24,12:17,532,80,null,1320,WALNUT & OBSERVATORY (NB)
2054,12:26,12:11,532,80,null,1320,EAGLE HTS & LOT M (WB)
2061,12:27,12:11,532,80,null,1320,LAKE MENDOTA & LOT P (NB)
2071,12:28,12:11,532,80,null,1320,LAKE MENDOTA & LOT Q (NB)
2076,12:27,12:17,532,80,null,1320,MARSH & LOT 76 (WB)
2082,12:25,12:11,532,80,null,1320,EAGLE HTS & SHELTER (WB)
2088,12:15,12:11,532,80,null,1320,OBSERVATORY & WALNUT (WB)
2091,12:28,12:17,532,80,null,1320,OBSERVATORY & HIGHLAND (EB)
2100,12:22,12:12,178,15,null,1320,SHEBOYGAN & STATE OFFICE (WB)
2101,12:28,12:08,178,10,null,1320,SHEBOYGAN & STATE OFFICE (EB)
2105,12:54,12:19,542,3,null,1080,ODANA & FREDERICK (EB)
2112,12:27,12:19,542,3,null,1320,MONROE & GLENWAY (WB)
2114,12:29,12:19,542,3,null,1320,ODANA & ANTHONY (WB)
2119,12:52,12:19,542,3,null,1320,ODANA & CHARLES (EB)
2125,12:16,12:11,532,80,null,1320,HIGHLAND & OBSERVATORY (NB)
2131,12:35,12:08,178,10,null,1320,U BAY & UNIV AVE (NB)
2132,12:25,12:19,542,3,null,1320,MONROE & PICKFORD (WB)
2134,12:45,12:27,5,80,6,1320,MINERAL PT & TOEPFER (WB)
2138,12:49,12:30,692,2,null,1320,REGENT & EAU CLAIRE (WB)
2139,12:58,12:19,542,3,null,360,MONROE & WEST LAWN (EB)
2145,12:32,12:17,532,80,null,1320,OBSERVATORY & BABCOCK (EB)
2146,12:23,12:21,692,10,null,1320,UNIV AVE & FOREST (WB)
2164,12:40,12:27,5,80,6,1320,REGENT & N ALLEN (WB)
2175,12:19,12:08,178,10,null,1320,SHEBOYGAN & EAU CLAIRE (EB)
2178,12:53,12:27,5,80,6,1260,SCIENCE & S WHITNEY (WB)
2180,12:40,12:02,809,1,null,1320,COMMONWEALTH & RUGBY (SB)
2182,12:53,12:18,160,3,18,1260,TOKAY & S SEGOE (WB)
2184,12:22,12:12,178,15,null,1320,SHEBOYGAN & N SEGOE (WB)
2191,12:31,12:08,178,10,null,1320,UNIV AVE & N MIDVALE (EB)
2192,12:24,12:21,692,10,null,1320,UNIV AVE & WALNUT (WB)
2193,12:31,12:19,178,70,null,1320,UNIV AVE & SPRING HARBOR (NB)
2195,12:31,12:17,532,80,null,1320,OBSERVATORY & ELM (EB)
2197,12:31,12:19,178,70,null,1320,UNIV AVE & NORMAN (NB)
2199,12:46,12:30,692,2,null,1320,N SEGOE & KELAB (NB)
2200,12:16,12:08,178,10,null,1320,UNIV AVE & N MIDVALE (WB)
2202,12:53,12:18,160,3,18,1260,TOKAY & WEDGEWOOD (WB)
2204,12:58,12:25,809,15,null,360,BLUFF & N BLACKHAWK (WB)
2206,12:58,12:25,809,15,null,360,BLUFF & PALOMINO (WB)
2212,12:29,12:19,542,3,null,1320,ODANA & FREDERICK (WB)
2220,12:24,12:12,178,15,null,1320,OLD MIDDLETON & N WHITNEY (WB)
2222,12:51,12:18,160,3,18,1320,TOKAY & CHARLES (WB)
2224,12:31,12:19,542,3,null,1320,ODANA & HILLTOP (WB)
2226,12:54,12:18,160,3,18,1080,TOKAY & BLUEBIRD (WB)
2236,12:25,12:12,178,15,null,1320,OLD MIDDLETON & GETTLE (WB)
2240,12:26,12:17,532,80,null,1320,MARSH & LOT 60 (WB)
2250,12:48,12:27,5,80,6,1320,MINERAL PT & S SEGOE (WB)
2253,12:50,12:19,542,3,null,1320,ODANA & DEARHOLT (EB)
2264,12:58,12:25,809,15,null,360,BLUFF & LES CHATEAUX APT (WB)
2265,12:55,12:19,542,3,null,900,ODANA & HURON (EB)
2267,12:30,12:17,532,80,null,1320,OBSERVATORY & NATATORIUM (EB)
2268,12:15,12:08,178,10,null,1320,UNIV AVE & N BLACKHAWK (WB)
2270,12:14,12:08,178,10,null,1320,UNIV AVE & RIDGE (WB)
2274,12:52,12:18,160,3,18,1320,TOKAY & HILLTOP (WB)
2282,12:24,12:12,178,15,null,1320,SHEBOYGAN & N WHITNEY (WB)
2288,12:19,12:08,178,10,null,1320,EAU CLAIRE & OLD MIDDLETON (SB)
2290,12:24,12:19,542,3,null,1320,MONROE & WEST LAWN (WB)
2302,12:33,12:19,542,3,null,1320,ODANA & DEARHOLT (WB)
2306,12:39,12:02,809,1,null,1320,N ALLEN & REGENT (SB)
2320,12:50,12:27,5,80,6,1320,MINERAL PT & RACINE (WB)
2344,12:53,12:27,5,80,6,1260,SCIENCE & UW CLINIC (WB)
2349,12:27,12:17,532,80,null,1320,HIGHLAND & MARSH (EB)
2357,12:53,12:19,542,3,null,1260,ODANA & ANTHONY (EB)
2362,12:44,12:30,692,2,null,1320,N MIDVALE & HILLDALE (SB)
2370,12:17,12:08,178,10,null,1320,UNIV AVE & N SEGOE (WB)
2374,12:43,12:27,5,80,6,1320,SPEEDWAY & S FRANKLIN (WB)
2376,12:23,12:12,178,15,null,1320,SHEBOYGAN & EAU CLAIRE (WB)
2379,12:48,12:19,542,3,null,1320,ODANA & S WHITNEY (EB)
2380,12:25,12:19,542,3,null,1320,MONROE & KNICKERBOCKER (WB)
2389,12:59,12:19,542,3,null,180,MONROE & LEONARD (EB)
2393,12:25,12:21,692,10,null,1320,HIGHLAND & VA HOSP (NB)
